oid,year,E,N,qc1Ncs,mS,mF,pgaS,pgaF
AVD-POD01-CPT001,2012,1574720.61,5183131.63,116.24602260067616,0,1,22.59,68.54
AVD-POD01-CPT015,2012,1575167.29,5183093.46,93.29540632929758,0,1,22.03,76.29
AVD-POD03-CPT001,2012,1574885.15,5182772.77,83.67880815093469,0,1,22.59,76.29
AVD-POD03-CPT007,2012,1574940.02,5182769.01,93.1757128689375,0,1,22.59,76.29
AVD-POD03-CPT014,2012,1575001.84,5182874.33,95.27907549416011,0,1,22.59,76.29
BIS-POD01-CPT005,2012,1566237.42,5185691.81,81.91636367023779,0,1,27.03,24.3
BIS-POD01-CPT006,2012,1566319.49,5185781.68,81.30221392698812,0,1,27.03,24.3
BIS-POD01-CPT014,2012,1571912.72,5180625.23,75.43957978689028,0,1,21.99,67.03
BIS-TC201-CPT011,2013,1566298.71,5185433.56,73.82963065472129,0,0,27.03,24.3
BIS-TC201-CPT035,2013,1566020.0,5185443.0,77.9768726298172,0,0,27.03,24.3
BUR-POD01-CPT17,2012,1574483.92,5185498.16,108.17781338707152,0,0,23.06,51.57
BUR-POD04-CPT06,2012,1575094.15,5183874.69,95.3731009380318,0,1,22.03,65.96
CAS-POD01-CPT001,2012,1568383.83,5185966.13,85.05228283913081,0,1,25.55,24.37
CCC-POD01-CPT007,2013,1570005.01,5180643.93,82.184229425542,0,0,21.29,50.88
CCC-POD02-CPT055,2013,1571128.0,5180913.0,108.47585622366397,0,0,22.52,63.18
CCC-POD03-CPT011,2012,1571921.27,5180652.42,123.33944641665268,0,1,21.99,67.03
CHM-POD01-CPT005,2012,1570560.55,5176588.0,409.27201557582157,0,1,22.4,82.87
CHM-POD01-CPT008,2013,1570525.19,5176522.56,81.57341211934573,0,1,22.4,82.87
CHM-POD01-CPTB003,2012,1570348.98,5176270.13,79.77368571810402,0,1,22.4,82.87
CPT-ARN-01,2010,1576467.29,5181262.38,131.5367278649672,0,0,21.67,100.6
CPT-ARN-02,2010,1576219.81,5182209.91,137.49778980388615,0,0,21.91,93.63
CPT-ARN-04,2010,1576734.22,5182326.47,105.22987327121606,0,0,21.67,82.41
CPT-ARN-19,2011,1576447.24,5181529.13,91.97327967322619,0,0,21.67,93.63
CPT-ARN-21,2011,1576142.24,5182128.74,135.4618911195305,0,0,21.91,93.63
CPT-ARN-22,2011,1576516.96,5181721.57,105.83184680165438,0,0,21.67,93.63
CPT-ARN-23,2011,1576564.82,5182063.9,107.09844347090902,0,1,21.67,93.63
CPT-ARN-24,2011,1576598.12,5181917.48,115.91605109706752,0,0,21.67,93.63
CPT-ARN-25,2011,1576610.34,5182256.74,91.31325598405901,0,0,21.67,82.41
CPT-ARN-26,2011,1576326.5,5182390.67,105.14097081902149,0,0,21.91,82.41
CPT-ARN-28,2011,1576349.9,5182694.74,102.46917190808007,0,0,22.03,82.41
CPT-ARN-30,2011,1576730.34,5182526.74,89.48378345276416,0,0,21.67,82.41
CPT-ARN-31,2011,1576554.91,5182798.43,106.23257102660605,0,0,21.67,82.41
CPT-ARN-33,2011,1576455.01,5182974.97,130.1575543763192,0,0,21.67,82.41
CPT-AVD-02,2010,1574602.57,5182888.22,91.43161356661635,0,0,22.59,68.54
CPT-AVD-09,2010,1574545.91,5183483.03,78.21000783219368,0,0,22.59,64.24
CPT-AVD-13,2010,1576073.73,5183420.72,89.18143056755353,0,0,22.03,69.93
CPT-AVD-14,2010,1574380.34,5182978.27,84.53703459474787,0,0,22.59,68.54
CPT-AVD-15,2010,1574389.57,5183052.47,86.54072731919062,0,0,22.59,68.54
CPT-AVD-16,2010,1574412.83,5183187.48,74.40986437958824,0,0,22.59,64.24
CPT-AVD-17,2010,1574462.37,5183343.75,75.01231121070516,0,0,22.59,64.24
CPT-AVD-18,2010,1574504.38,5183445.31,80.75147002624165,0,0,22.59,64.24
CPT-AVD-19,2010,1574621.42,5183528.92,83.03824253863489,0,0,22.59,64.24
CPT-AVD-30,2011,1575655.29,5183463.58,95.55956404751662,0,0,22.03,69.93
CPT-AVD-32,2011,1574748.99,5183367.87,85.82776852946479,0,0,22.59,65.96
CPT-AVD-36,2011,1575063.14,5183262.1,78.6690181157253,0,0,22.59,65.96
CPT-AVD-37,2011,1575280.89,5183250.93,92.53651991836436,0,0,22.03,65.96
CPT-AVD-38,2011,1575481.19,5183322.52,99.3155269447344,0,0,22.03,69.93
CPT-AVD-40,2011,1574739.53,5183186.78,89.23139953008663,0,0,22.59,65.96
CPT-AVD-41,2011,1574895.81,5183087.24,99.85414377111618,0,1,22.59,76.29
CPT-AVD-42,2011,1574963.31,5183183.73,90.9538110051497,0,1,22.59,65.96
CPT-AVD-43,2011,1574993.09,5183095.71,92.30632869190663,0,1,22.59,76.29
CPT-AVD-44,2011,1575042.66,5182992.81,89.49444890824887,0,1,22.59,76.29
CPT-AVD-47,2011,1575008.08,5182912.24,89.51327175861347,0,0,22.59,76.29
CPT-AVD-48,2011,1575133.48,5182981.62,89.08383015403386,0,0,22.03,76.29
CPT-AVD-49,2011,1575208.69,5183108.69,85.50902359739815,0,0,22.03,76.29
CPT-AVD-50,2011,1575308.06,5183183.05,88.82559929436148,0,0,22.03,65.96
CPT-AVD-51,2011,1575472.69,5183253.79,92.49878905643455,0,0,22.03,69.93
CPT-AVD-54,2011,1575735.91,5183249.46,92.38423751448106,0,0,22.03,69.93
CPT-AVD-56,2011,1575705.85,5183354.4,97.6080128878689,0,0,22.03,69.93
CPT-AVD-57,2011,1575628.16,5183243.49,104.15234326994687,0,0,22.03,69.93
CPT-AVD-62,2011,1575919.33,5183451.85,111.62800759866042,0,1,22.03,69.93
CPT-AVL-02,2010,1571538.59,5181020.72,57.29695371942431,0,0,22.52,67.03
CPT-AVL-04,2010,1571754.87,5180795.58,82.20550616943595,0,0,21.99,67.03
CPT-AVL-05,2010,1571427.92,5180830.54,101.28061565485693,0,0,22.52,67.03
CPT-AVS-01,2010,1574334.76,5182427.44,82.33037326729622,0,0,22.24,68.54
CPT-AVS-02,2010,1572609.36,5195793.58,52.29120096414257,1,0,26.59,22.02
CPT-AVS-07,2010,1572621.8,5181199.47,92.8785022870675,0,0,22.46,70.22
CPT-AVS-08,2010,1572870.39,5181207.81,72.64606739062594,0,0,22.46,79.92
CPT-AVS-10,2010,1573409.98,5181232.45,66.79918320594803,0,0,22.46,83.17
CPT-AVS-11,2010,1572693.83,5181313.38,75.66360589621489,0,0,22.46,64.67
CPT-AVS-12,2010,1573142.1,5181330.55,79.87538410040304,0,0,22.46,70.66
CPT-AVS-15,2010,1572911.71,5181581.84,137.85666326765892,0,0,22.46,70.66
CPT-AVS-16,2010,1573171.14,5181557.65,119.52750253484275,0,0,22.46,70.66
CPT-AVS-17,2010,1573403.45,5181583.98,113.93339482657217,0,0,22.46,73.3
CPT-AVS-18,2010,1572887.1,5181738.23,135.45498974251984,0,0,22.46,70.66
CPT-AVS-20,2010,1573325.46,5181769.39,87.79422809122279,0,0,22.46,70.66
CPT-AVS-21,2010,1573487.37,5181763.69,75.22114961773681,0,0,22.46,73.3
CPT-AVS-22,2010,1572979.89,5181864.6,124.8614858563663,0,0,22.46,70.66
CPT-AVS-23,2010,1573381.0,5181893.25,83.52933713663732,0,0,22.46,70.66
CPT-AVS-24,2010,1573209.09,5181989.69,86.79917731306666,0,0,22.46,70.66
CPT-AVS-25,2010,1573075.1,5181969.3,79.43182840668267,0,0,22.46,70.66
CPT-AVS-26,2010,1573141.77,5181988.6,92.47328892178633,0,0,22.46,70.66
CPT-AVS-28,2010,1573334.22,5181947.15,73.45391034189957,0,0,22.46,70.66
CPT-AVS-29,2010,1573425.32,5181857.69,93.82215223809318,0,0,22.46,73.3
CPT-AVS-30,2010,1573474.19,5181653.17,83.57765985927942,0,0,22.46,73.3
CPT-AVS-31,2010,1573420.84,5181606.58,120.63565753762644,0,0,22.46,73.3
CPT-AVS-35,2011,1572550.03,5181082.92,90.01887850462039,0,0,22.46,70.22
CPT-AVS-39,2011,1573098.46,5181194.42,107.12443410535806,0,0,22.46,79.92
CPT-AVS-41,2011,1573234.46,5181060.91,86.59607056387551,0,0,22.46,79.92
CPT-AVS-42,2011,1573269.05,5181192.74,125.03842800442251,0,0,22.46,79.92
CPT-AVS-43,2011,1573390.54,5180836.74,96.81456184159384,0,1,22.46,79.92
CPT-AVS-45,2011,1573367.13,5181100.03,112.96671599212328,0,0,22.46,79.92
CPT-AVS-49,2011,1573714.79,5181137.05,120.19374217389388,0,0,22.46,83.17
CPT-AVS-51,2011,1573911.08,5181146.5,117.94177498145694,0,0,22.24,83.17
CPT-AVS-55,2011,1574281.78,5180862.64,124.01348668069821,0,0,22.24,97.21
CPT-AVS-57,2011,1574142.32,5181112.75,106.5249054909937,0,0,22.24,97.21
CPT-BDL-01,2010,1566939.14,5184259.77,83.66097057687632,0,1,26.73,26.38
CPT-BDL-02,2010,1567137.08,5184147.46,75.07582067758341,0,0,25.38,26.38
CPT-BDL-03,2010,1565528.17,5185394.21,86.29004272049373,0,0,27.96,23.9
CPT-BDL-06,2010,1566175.45,5185589.59,70.13068563245032,0,0,27.03,24.3
CPT-BDL-10,2010,1566523.89,5185872.65,67.76470749853219,0,0,27.03,24.3
CPT-BDL-11,2010,1566700.95,5185625.14,67.21142272569433,0,0,27.03,24.7
CPT-BEX-01,2010,1577410.02,5181510.18,84.76822698688109,0,0,21.67,93.43
CPT-BEX-04,2010,1577310.33,5181645.84,108.45770020547043,0,0,21.67,93.43
CPT-BEX-06,2010,1577726.1,5181964.88,117.04139669569786,0,0,21.67,95.51
CPT-BEX-07,2010,1577245.9,5181935.02,97.7357674877291,0,0,21.67,93.43
CPT-BEX-08,2010,1577507.77,5182007.92,90.5199232156971,0,0,21.67,95.51
CPT-BEX-09,2010,1577800.3,5182116.62,86.06605615871447,0,0,21.24,95.51
CPT-BEX-10,2010,1577174.14,5182171.0,131.19652074955587,0,1,21.67,93.43
CPT-BEX-11,2010,1577437.97,5182240.04,91.22685362449567,0,0,21.67,85.08
CPT-BEX-12,2010,1577619.95,5182310.84,82.42207900306391,0,0,21.67,85.08
CPT-BEX-13,2010,1577144.42,5182450.7,81.68373789994689,0,0,21.67,81.63
CPT-BEX-14,2010,1577320.06,5182472.14,91.43824069877088,0,0,21.67,81.63
CPT-BEX-16,2010,1577054.55,5182638.96,78.74347942065647,0,0,21.67,81.63
CPT-BEX-17,2010,1577270.18,5182708.33,88.1046932932233,0,1,21.67,81.63
CPT-BEX-18,2010,1577822.55,5182279.42,105.13345865930471,0,0,21.24,85.08
CPT-BEX-19,2010,1576916.86,5182826.2,92.35172980841214,0,0,21.67,81.63
CPT-BEX-26,2010,1577857.45,5182162.61,91.56544742051119,0,0,21.24,95.51
CPT-BEX-27,2010,1577822.5,5182072.37,107.49157601973155,0,0,21.24,95.51
CPT-BEX-29,2010,1577464.06,5181341.02,85.46638856248555,0,0,21.67,95.51
CPT-BEX-33,2010,1577822.55,5182279.42,85.23658661701631,0,0,21.24,85.08
CPT-BEX-35,2010,1577576.56,5181864.31,103.9653669919223,0,0,21.67,95.51
CPT-BFT-08,2010,1569270.64,5188256.36,72.1737084337226,0,1,25.68,23.68
CPT-BFT-10,2010,1569440.7,5188175.85,78.58137583174359,0,1,25.58,24.93
CPT-BKM-09,2011,1570969.0,5176619.99,61.87806356173128,0,0,22.4,92.11
CPT-BKM-11,2011,1571360.71,5176820.63,81.6292045749261,0,1,21.94,81.79
CPT-BKM-14,2011,1570710.76,5176364.56,226.28000662885603,0,0,22.4,82.87
CPT-BKM-15,2011,1570897.06,5176447.72,84.19698946282199,0,0,22.4,92.11
CPT-BKM-19,2011,1571063.09,5175775.22,89.27674066477138,0,0,22.4,92.11
CPT-BKM-20,2011,1571167.13,5176380.16,87.54890234727829,0,0,21.94,92.11
CPT-BKM-21,2011,1571027.34,5176115.45,79.4998007378762,0,0,22.4,92.11
CPT-BKM-25,2011,1571438.17,5176374.96,70.66152164681472,0,1,21.94,101.4
CPT-BKM-31,2011,1571333.15,5176372.66,81.20099944735826,0,1,21.94,92.11
CPT-BRK-01,2010,1575350.37,5192876.88,101.40781647074762,0,0,23.53,28.69
CPT-BRK-02,2010,1575191.43,5192903.26,115.91605552061749,1,1,23.53,28.69
CPT-BRK-03,2010,1575125.8,5193273.48,116.66745618348449,0,0,23.53,28.69
CPT-BRK-04,2010,1575185.99,5193750.48,134.4420471047792,1,0,23.53,26.83
CPT-BRK-05,2010,1575248.2,5194107.85,90.05120001360369,1,1,23.66,26.83
CPT-BRK-07,2010,1575323.04,5194519.04,103.43667086613512,1,1,23.66,25.4
CPT-BRK-09,2010,1575891.68,5194516.49,92.50759855776428,1,0,23.66,26.03
CPT-BRK-12,2010,1575351.02,5194775.19,93.81390319240072,1,1,23.66,25.4
CPT-BRK-15,2010,1575596.31,5194959.4,92.03957904198751,0,1,23.66,26.03
CPT-BRK-18,2010,1575147.05,5193927.82,110.91498942406974,1,1,23.66,26.83
CPT-BRY-01,2011,1575099.77,5180935.51,98.6879217827433,0,0,21.91,93.95
CPT-BRY-03,2011,1574650.64,5180807.19,125.02286995646173,0,0,22.14,97.21
CPT-BRY-05,2011,1574415.6,5180393.63,134.0788542408635,0,0,22.14,97.21
CPT-BRY-08,2011,1575352.16,5179983.17,98.97958297358907,0,0,22.09,104.3
CPT-BRY-10,2011,1574862.21,5179357.01,136.26719590550607,0,1,22.14,106.4
CPT-BRY-11,2011,1574761.12,5179288.4,135.95118927835674,0,0,22.14,106.4
CPT-BRY-12,2011,1575270.06,5179058.91,118.89331124874566,0,0,22.09,106.4
CPT-BRY-13,2011,1574789.11,5178963.12,146.30209239303525,0,0,22.61,106.4
CPT-BRY-15,2011,1574497.12,5179565.39,109.00756537431899,0,0,22.14,99.62
CPT-BRY-16,2011,1574370.84,5179548.14,128.22926559526113,0,0,22.14,99.62
CPT-BRY-18,2011,1574275.08,5179602.78,97.48152027035349,0,0,22.14,99.62
CPT-BRY-20,2011,1574823.12,5179753.75,133.75706384877478,0,0,22.14,104.3
CPT-BRY-21,2011,1575010.18,5180125.91,102.72597490879852,0,0,22.14,104.3
CPT-BRY-22,2011,1574270.4,5180022.22,139.525154680196,0,0,22.14,99.62
CPT-BUR-03,2010,1574122.15,5183152.5,79.9931686389979,0,0,22.59,64.24
CPT-BUR-05,2010,1573932.91,5183259.54,76.53227538749113,0,0,22.59,59.55
CPT-BUR-06,2010,1574224.55,5183261.04,84.74244094676874,0,0,22.59,64.24
CPT-BUR-07,2010,1574132.76,5183360.69,78.88452204982488,0,0,22.59,64.24
CPT-BUR-08,2010,1573690.75,5183434.84,87.84943741381295,0,0,22.46,59.55
CPT-BUR-101,2011,1574466.75,5185374.58,111.43899886920447,0,0,23.06,51.57
CPT-BUR-102,2011,1574300.33,5184806.63,108.31843229249624,0,1,23.06,56.84
CPT-BUR-104,2011,1574096.77,5185337.38,120.41795605105182,0,1,23.06,51.57
CPT-BUR-105,2011,1574385.43,5184517.99,137.01783617333413,0,0,22.59,56.84
CPT-BUR-11,2010,1573555.27,5183600.37,79.68360908363604,0,0,22.46,59.55
CPT-BUR-12,2010,1573673.65,5183591.8,85.36846942837043,0,0,22.46,59.55
CPT-BUR-18,2010,1573678.78,5183942.6,80.09087917953558,0,0,22.46,59.55
CPT-BUR-19,2010,1574060.59,5183581.85,71.33169903121973,0,0,22.59,59.55
CPT-BUR-26,2010,1574310.74,5183287.96,85.6481167638069,0,1,22.59,64.24
CPT-BUR-27,2010,1574145.84,5183562.21,97.97426041445749,0,1,22.59,64.24
CPT-BUR-28,2010,1574315.15,5183567.8,120.80734672576494,0,0,22.59,64.24
CPT-BUR-29,2010,1573958.28,5183679.0,78.31302001806935,0,0,22.59,59.55
CPT-BUR-30,2010,1573882.58,5183868.76,76.16431881862754,0,0,22.59,59.55
CPT-BUR-31,2010,1573624.09,5183944.45,85.16425978366941,0,0,22.46,59.55
CPT-BUR-33,2010,1573137.87,5183009.62,159.13682482909837,0,0,22.46,60.67
CPT-BUR-34,2010,1574226.9,5184924.32,108.13282755612371,0,0,23.06,56.84
CPT-BUR-35,2010,1574243.27,5184806.06,85.11360915404923,0,1,23.06,56.84
CPT-BUR-36,2010,1574226.56,5184738.83,79.35438092332885,0,1,23.06,56.84
CPT-BUR-37,2010,1574338.24,5184738.32,101.99207983486787,0,1,23.06,56.84
CPT-BUR-38,2010,1575145.74,5183586.44,87.37519754649998,0,0,22.03,65.96
CPT-BUR-39,2010,1575071.83,5183451.4,81.49798513115817,0,1,22.59,65.96
CPT-BUR-41,2010,1575445.25,5183463.94,82.50634174348946,0,1,22.03,69.93
CPT-BUR-42,2010,1575330.49,5183843.5,83.33127314392144,0,0,22.03,65.96
CPT-BUR-43,2010,1575300.65,5184245.65,84.94719209631097,0,0,22.03,60.16
CPT-BUR-44,2010,1575535.09,5184224.26,86.90272436353246,0,0,22.03,62.11
CPT-BUR-46,2010,1575767.47,5183825.18,91.60031689675628,0,1,22.03,69.93
CPT-BUR-47,2010,1574789.98,5184744.13,98.4746685535529,0,1,23.06,60.16
CPT-BUR-48,2010,1574874.0,5184738.09,96.66390183367619,0,1,23.06,60.16
CPT-BUR-49,2010,1574897.92,5184856.13,88.58827932907775,0,1,23.06,60.16
CPT-BUR-51,2010,1573613.76,5183291.47,77.87877424130274,0,0,22.46,59.55
CPT-BUR-52,2010,1573541.65,5183881.12,85.69584284645606,0,0,22.46,59.55
CPT-BUR-53,2010,1573624.08,5183944.45,78.20018132196046,0,0,22.46,59.55
CPT-BUR-54,2010,1573887.01,5184020.57,78.68058428906338,0,0,22.59,59.55
CPT-BUR-57,2010,1575105.79,5183415.3,78.77146680473766,0,0,22.03,65.96
CPT-BUR-58,2010,1575167.14,5183400.15,80.28369993050673,0,1,22.03,65.96
CPT-BUR-59,2010,1575306.95,5183420.1,79.5501138695704,0,1,22.03,65.96
CPT-BUR-60,2010,1575381.88,5183442.01,81.24775812291733,0,1,22.03,65.96
CPT-BUR-70,2011,1575784.23,5183593.47,101.44504905255623,0,1,22.03,69.93
CPT-BUR-71,2011,1575538.18,5183572.75,97.21120173678175,0,0,22.03,69.93
CPT-BUR-72,2011,1575344.46,5183567.43,106.48011525915732,0,0,22.03,65.96
CPT-BUR-73,2011,1575130.44,5183503.26,103.11688031997441,0,0,22.03,65.96
CPT-BUR-77,2011,1575532.35,5183676.47,82.19026197319864,0,1,22.03,69.93
CPT-BUR-78,2011,1575774.25,5183853.41,88.10974586725882,0,1,22.03,69.93
CPT-BUR-79,2011,1575778.78,5184023.16,80.31862853279524,0,1,22.03,69.93
CPT-BUR-80,2011,1575624.82,5184243.29,112.95697986206201,0,0,22.03,62.11
CPT-BUR-81,2011,1575585.49,5183996.63,103.20744684661197,0,1,22.03,69.93
CPT-BUR-82,2011,1575436.47,5184220.2,120.15685448771522,0,1,22.03,62.11
CPT-BUR-84,2011,1575100.69,5184273.27,87.63368844078599,0,0,22.03,60.16
CPT-BUR-88,2011,1574946.49,5183785.81,87.58058029465327,0,0,22.59,65.96
CPT-BUR-93,2011,1575256.58,5184542.78,132.25263666731027,0,1,22.37,60.16
CPT-BUR-96,2011,1574561.45,5185105.09,95.8559145091553,0,0,23.06,51.57
CPT-BUR-99,2011,1574600.95,5184905.76,99.77655691066538,0,0,23.06,56.84
CPT-BYR-01,2011,1567936.1,5183178.26,88.7877290377763,0,0,25.38,29.71
CPT-CBD-04,2011,1570596.81,5181259.24,83.56352318058066,0,0,22.83,57.63
CPT-CBD-07,2011,1571314.42,5181280.4,71.36599465390428,0,0,22.52,63.18
CPT-CBD-10,2011,1569845.16,5181033.14,112.03349512434008,0,0,22.83,50.88
CPT-CBD-101P,2011,1570619.57,5179180.59,86.0478160501962,0,1,21.29,65.49
CPT-CBD-105,2011,1571529.95,5179127.4,97.2033679086441,0,0,21.99,76.32
CPT-CBD-106,2011,1571826.82,5179057.72,99.90046960855436,0,0,21.99,76.32
CPT-CBD-107,2011,1568982.51,5179005.48,63.86651127501589,0,0,20.92,53.1
CPT-CBD-108,2011,1569436.36,5178977.77,93.54716159286261,0,1,20.92,58.07
CPT-CBD-109,2011,1569961.07,5179026.1,81.69911992795485,0,0,21.29,58.07
CPT-CBD-113,2011,1570959.43,5178996.84,84.75259334877241,0,0,21.29,71.59
CPT-CBD-116,2011,1569130.28,5178827.55,76.34824352602134,0,0,22.62,53.1
CPT-CBD-117,2011,1569474.84,5178876.41,75.60496526789025,0,0,22.62,58.07
CPT-CBD-118,2011,1569574.89,5178889.54,73.11500194052276,0,1,22.62,58.07
CPT-CBD-119,2011,1569846.81,5178884.05,76.82659732646638,0,0,22.3,58.07
CPT-CBD-122,2011,1570660.78,5178889.04,79.30114568422051,0,0,22.3,65.49
CPT-CBD-123,2011,1570922.33,5178859.17,91.18726885639474,0,0,22.3,71.59
CPT-CBD-125,2011,1571451.07,5178818.12,81.78998531896752,0,0,22.09,76.32
CPT-CBD-128,2011,1570371.1,5178612.76,79.20294039712505,0,0,22.3,65.49
CPT-CBD-129,2011,1570731.77,5178612.98,79.23982331431385,0,1,22.3,71.59
CPT-CBD-130,2011,1570827.07,5178581.83,86.46895274528565,0,1,22.3,71.59
CPT-CBD-131,2011,1571163.11,5178640.75,85.40033971101025,0,0,22.09,71.59
CPT-CBD-135,2011,1570662.57,5178386.98,101.36217292568645,0,1,22.3,69.75
CPT-CBD-136,2011,1570827.08,5178342.44,77.854240237219,0,0,22.3,73.94
CPT-CBD-137,2011,1571121.26,5178287.22,72.35859654915076,0,0,22.09,73.94
CPT-CBD-138,2011,1571449.22,5178351.17,80.74541889315374,0,1,22.09,78.72
CPT-CBD-141,2011,1572725.0,5175980.0,80.83182081338983,0,0,20.53,108.0
CPT-CBD-142,2011,1571919.85,5178791.62,84.35442670439816,0,0,22.09,76.32
CPT-CBD-144,2011,1572285.16,5179150.35,92.94746610942025,0,0,21.99,83.65
CPT-CBD-145,2011,1572072.34,5179356.86,96.5281959857238,0,0,21.99,83.65
CPT-CBD-146,2011,1572271.6,5179379.09,82.49878781098177,0,0,21.99,83.65
CPT-CBD-148,2011,1572292.23,5179451.98,93.6059967673774,0,1,21.99,76.11
CPT-CBD-18,2011,1571810.29,5180970.86,99.60375512318342,0,0,22.52,67.03
CPT-CBD-21,2011,1570375.61,5180888.53,106.29456702521327,0,0,22.83,57.63
CPT-CBD-22,2011,1570614.23,5180868.39,98.72454923011925,0,1,22.83,57.63
CPT-CBD-25,2011,1571381.08,5180915.98,86.44184820863049,0,1,22.52,67.03
CPT-CBD-29,2011,1570144.46,5180628.78,81.87397871878301,0,0,21.29,57.63
CPT-CBD-32,2011,1570908.85,5180654.25,103.17664541711338,0,1,21.29,63.18
CPT-CBD-36,2011,1571777.36,5180592.97,122.12565345565605,0,0,21.99,67.03
CPT-CBD-37P,2011,1569919.0,5180455.51,99.22737002179181,0,0,21.29,50.88
CPT-CBD-42,2011,1571138.47,5180416.94,83.85764656777579,0,1,21.99,63.18
CPT-CBD-43,2011,1571319.68,5180410.99,94.83438407700243,0,0,21.99,63.18
CPT-CBD-45,2011,1571607.2,5180398.89,129.45404943582037,0,0,21.99,67.03
CPT-CBD-46,2011,1571779.0,5180360.86,138.76754666063783,0,0,21.99,73.45
CPT-CBD-47,2011,1569897.01,5180217.58,78.99469462876294,0,1,21.29,53.88
CPT-CBD-51,2011,1570866.45,5180171.98,115.02121379880136,0,0,21.29,67.94
CPT-CBD-53,2011,1571344.07,5180155.24,94.32728108705142,0,0,21.99,67.94
CPT-CBD-54,2011,1571433.06,5180170.26,99.03749696697692,0,0,21.99,73.45
CPT-CBD-55,2011,1571779.25,5180195.5,148.83333325559641,0,0,21.99,73.45
CPT-CBD-61,2011,1571136.95,5180054.25,98.66817538074945,0,0,21.99,67.94
CPT-CBD-65,2011,1569888.41,5179752.55,90.52471167146389,0,1,21.29,53.88
CPT-CBD-70,2011,1571111.09,5179787.78,101.02748587843179,0,0,21.99,67.94
CPT-CBD-74,2011,1569968.22,5179539.86,90.62554449360769,0,0,21.29,53.88
CPT-CBD-79,2011,1571177.68,5179535.04,103.40985633581019,0,0,21.99,67.94
CPT-CBD-82,2011,1571745.11,5179578.8,91.05777377983507,0,1,21.99,73.45
CPT-CBD-83,2011,1569428.09,5179417.92,88.0211660816239,0,0,20.92,58.07
CPT-CBD-86,2011,1570166.79,5179357.79,79.6401294664713,0,1,21.29,65.49
CPT-CBD-87,2011,1570350.22,5179324.19,84.81080338432152,0,1,21.29,65.49
CPT-CBD-91,2011,1571358.9,5179337.78,105.28641640163389,0,0,21.99,71.59
CPT-CBD-92,2011,1571553.23,5179391.64,103.75876568593141,0,1,21.99,76.32
CPT-CBD-94,2011,1569140.92,5179094.56,71.99670378610969,0,0,20.92,53.1
CPT-CBD-98P,2011,1569879.48,5179176.59,61.94655348190909,0,1,21.29,58.07
CPT-CBD-OC01,2011,1571080.28,5180388.49,104.46081014072357,0,1,21.99,63.18
CPT-CBD-OC03,2011,1571108.1,5180379.32,113.36618806697103,0,1,21.99,63.18
CPT-CBD-PC01,2011,1571079.78,5180387.0,129.08186879979434,0,1,21.99,63.18
CPT-CBD-PC03,2011,1571108.12,5180380.19,136.98679136204703,0,1,21.99,63.18
CPT-CBD-Z2-1,2011,1570502.21,5180375.42,126.51369038997596,0,0,21.29,57.63
CPT-CBD-Z2-11,2011,1570623.21,5180460.58,114.10359221954512,0,1,21.29,57.63
