cluster,n_soundings,n_dates,n_epochs,first_date,last_date,E,N,nzgd_ids,span_days
9203,5,5,4,2010-10-06,2012-11-01,1573681.848,5183527.506,284;55460;55504;55509;56287,757
18430,6,5,2,2011-10-09,2013-10-09,1564450.2,5174621.066666666,33910;33913;33914;38496;38499;38500,731
9220,6,5,4,2010-11-27,2012-11-01,1579211.6233333333,5178865.383333334,717;55500;55501;55502;55506;56286,705
23569,4,4,2,2008-04-10,2015-10-02,1572128.815,5179000.1,103383;103387;117100;117123,2731
20347,12,4,2,2011-11-21,2014-03-18,1576644.576666667,5184050.165,27642;38759;38760;38771;38772;38773;38774;38775;38777;38783;38784;38785,848
2193,5,4,3,2010-11-09,2011-06-15,1573678.78,5183942.6,280;55503;55512;55513;76062,218
2195,4,4,3,2010-12-03,2011-06-15,1574310.74,5183287.96,287;55505;55510;55514,194
21628,3,3,2,2001-04-02,2014-08-18,1571237.1533333333,5182332.5633333335,3847;8159;44121,4886
23549,4,3,2,2008-06-19,2015-09-28,1572130.05,5178891.32,103421;103422;117094;117116,2657
24225,3,3,2,2011-08-11,2016-05-09,1570453.9333333333,5180162.33,75789;77665;94327,1733
6341,3,3,2,2011-08-02,2012-08-01,1570383.5233333334,5178942.649999999,1015;5472;5473,365
1627,3,3,2,2010-11-17,2011-03-14,1573171.2866666664,5181557.666666667,110;55507;56289,117
1620,3,3,2,2010-11-18,2011-03-10,1573725.47,5181312.043333333,1086;55511;56291,112
19490,2,2,2,2000-08-16,2013-12-11,1570996.12,5181799.25,8425;37186,4865
12675,2,2,2,2000-09-19,2013-02-27,1576587.65,5182284.2,8288;44429,4544
14175,2,2,2,2000-10-30,2013-04-08,1577171.295,5183188.96,8019;32388,4543
13599,2,2,2,2000-11-10,2013-03-21,1574391.1800000002,5184932.275,8189;20763,4514
12754,2,2,2,2000-11-13,2013-03-01,1569583.7650000001,5182962.485,8089;22436,4491
11846,2,2,2,2000-11-07,2013-02-05,1576011.555,5185105.800000001,8105;16185,4473
10857,2,2,2,2001-06-14,2012-12-20,1575918.915,5183183.300000001,8566;14934,4207
7719,2,2,2,2001-06-14,2012-09-11,1574949.275,5182781.91,5158;8567,4107
7045,2,2,2,2001-06-14,2012-08-22,1575236.18,5183111.07,8565;44283,4087
28420,2,2,2,2010-12-15,2020-11-23,1572432.145,5177568.11,792;229668,3631
1025,2,2,2,2001-01-11,2010-10-07,1574334.78,5182425.115,1082;7997,3556
28842,2,2,2,2011-12-06,2021-04-28,1571256.2850000001,5179813.125,22699;193652,3431
24234,2,2,2,2011-08-11,2016-05-11,1570495.0350000001,5180163.675000001,94203;94328,1735
24223,2,2,2,2011-08-12,2016-05-09,1570422.9300000002,5180168.32,75788;94326,1732
23013,2,2,2,2011-03-17,2015-04-02,1572176.435,5179030.055,104388;117088,1477
22410,2,2,2,2010-11-30,2014-11-27,1571111.3900000001,5181449.585,723;49426,1458
23402,2,2,2,2011-09-12,2015-08-14,1568657.4100000001,5180824.1,19634;75968,1432
23403,2,2,2,2011-09-12,2015-08-14,1568658.6600000001,5180837.15,19633;75969,1432
23397,2,2,2,2011-09-13,2015-08-14,1568628.67,5180810.5600000005,19635;75965,1431
22392,2,2,2,2011-05-24,2014-11-26,1570292.155,5182083.995,755;49592,1282
22404,2,2,2,2011-06-21,2014-11-27,1570400.735,5181065.425,385;49580,1255
21400,2,2,2,2011-05-12,2014-07-16,1576729.435,5182526.8149999995,30;45624,1161
20799,2,2,2,2011-05-27,2014-05-07,1576222.105,5186153.609999999,933;103137,1076
18834,2,2,2,2010-12-06,2013-11-05,1575170.3199999998,5186047.11,508;44693,1065
1630,2,2,2,2008-06-20,2011-03-16,1572128.78,5178847.21,117090;117092,999
19101,2,2,2,2011-05-11,2013-11-27,1570556.685,5176182.29,1075;59166,931
18941,2,2,2,2011-05-13,2013-11-13,1576445.6099999999,5181530.5600000005,19;36401,915
18645,2,2,2,2011-05-23,2013-10-22,1569932.1800000002,5183307.470000001,760;36399,883
13488,2,2,2,2010-11-17,2013-03-19,1573526.6099999999,5182479.475,1117;19792,853
20374,3,2,2,2011-11-21,2014-03-18,1576629.3933333333,5184049.503333333,27641;38782;40301,848
18520,2,2,2,2011-07-21,2013-10-15,1570781.15,5180517.5,27150;49066,817
19550,3,2,2,2011-10-26,2013-12-13,1571106.1466666665,5181055.446666666,389;390;37821,779
4302,2,2,2,2010-04-18,2012-04-19,1570506.755,5180406.234999999,5359;5360,732
10126,2,2,2,2010-12-01,2012-11-30,1569409.7999999998,5181222.865,1400;15827,730
9234,2,2,2,2010-11-19,2012-11-02,1573693.7349999999,5181572.1899999995,1090;55461,714
18719,2,2,2,2011-12-07,2013-10-30,1570293.125,5180719.18,32291;34449,693
11816,2,2,2,2011-05-13,2013-02-04,1575915.6099999999,5181515.09,9;17030,633
6611,2,2,2,2010-12-03,2012-08-09,1568238.7149999999,5181459.76,1145;19159,615
13723,2,2,2,2011-07-20,2013-03-26,1570739.025,5180467.295,27249;27265,615
9233,2,2,2,2011-03-10,2012-11-02,1573401.0,5181589.0,55499;56290,603
9204,2,2,2,2011-03-10,2012-11-01,1573688.0,5181357.0,55498;56288,602
11832,2,2,2,2011-07-14,2013-02-05,1574438.6949999998,5181063.825,142;18943,572
9586,2,2,2,2011-05-20,2012-11-14,1570136.78,5182492.045,747;10055,544
10407,3,2,2,2011-07-12,2012-12-07,1570331.47,5180262.276666666,13579;27543;27547,514
8245,2,2,2,2011-05-12,2012-09-26,1576597.96,5181917.755000001,24;5545,503
7429,2,2,2,2011-05-17,2012-09-04,1574298.3050000002,5184806.93,353;5656,476
8380,2,2,2,2011-07-08,2012-10-02,1575240.65,5181900.545,887;6551,452
7552,2,2,2,2011-06-24,2012-09-06,1574573.54,5185374.1,348;33784,440
7132,2,2,2,2011-06-27,2012-08-24,1575007.6150000002,5182667.805,87;4399,424
5747,2,2,2,2011-05-30,2012-07-11,1571838.07,5181550.795,545;13563,408
5393,2,2,2,2011-05-25,2012-06-28,1578043.67,5180923.535,663;2648,400
9577,2,2,2,2011-11-03,2012-11-14,1567643.335,5181639.595,9619;27180,377
6391,2,2,2,2011-07-25,2012-08-02,1568678.905,5181147.9,5651;94410,374
4075,2,2,2,2011-05-04,2012-04-03,1568201.82,5177084.495,1244;5398,335
7623,2,2,2,2011-11-22,2012-09-09,1574645.54,5182458.575,5531;27578,292
7836,2,2,2,2011-12-01,2012-09-13,1576987.8900000001,5183789.425,9250;27511,287
6760,2,2,2,2011-11-03,2012-08-14,1574333.9449999998,5184752.41,4980;27686,285
4420,2,2,2,2011-08-02,2012-05-01,1576494.7,5184038.245,1430;2171,273
3573,2,2,2,2011-05-20,2012-02-02,1570062.665,5182211.984999999,752;1971,258
2389,2,2,2,2010-11-16,2011-07-18,1573098.545,5181192.245,103;130,244
6035,2,2,2,2011-11-22,2012-07-19,1576867.95,5183616.79,6416;27523,240
2392,2,2,2,2010-12-13,2011-07-18,1573766.645,5181305.21,136;1128,217
3106,2,2,2,2011-04-28,2011-11-11,1568463.98,5182357.22,1417;1418,197
2088,2,2,2,2010-11-25,2011-05-31,1572542.865,5182152.765,539;582,187
1982,2,2,2,2010-11-23,2011-05-24,1575778.01,5184023.265000001,306;330,182
2083,2,2,2,2010-12-15,2011-05-31,1572311.205,5182134.535,533;577,167
2947,2,2,2,2011-05-12,2011-10-13,1576564.29,5182062.76,23;59212,154
2965,2,2,2,2011-05-17,2011-10-17,1571471.255,5178489.68,998;1045,153
2875,2,2,2,2011-05-25,2011-09-29,1574777.0150000001,5183524.845000001,54;59380,127
1612,2,2,2,2010-11-18,2011-03-01,1573403.45,5181583.98,111;55508,103
